country_name,Adjusted net national income per capita (current US$),"Compulsory education, duration (years)",Employment in services (% of total employment) (modeled ILO estimate),Gross savings (% of GNI),"Hospital beds (per 1,000 people)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)",Population growth (annual %),Urban population (% of total population)
Nepal,919.1069998,10,20.15200043,48.38558066,0.3,5.568685478,55.42861167,1.837337077,20.153
Netherlands,44689.57407,13,82.19499969,31.30905676,4.7,2.633699102,46.26905459,0.58572446,91.876
New Zealand,34056.90068,10,75.0530014,19.72478066,2.8,1.619631902,47.6082912,1.557727747,86.615
Nicaragua,1725.358845,7,53.82099915,24.37137079,0.9,5.376289908,38.68014595,1.229573677,58.76
Niger,500.7170081,9.923913043,17.97699928,16.9049066,0.3,-2.489792651,42.26516688,3.793668153,16.517
Nigeria,1586.948089,9,53.10300064,20.17869587,0.5,11.39679497,44.82190885,2.564841886,51.157
North Macedonia,4653.82168,13,53.49900055,33.08656639,4.4,0.766439573,39.27479467,0.024049441,58.208
Norway,66019.07294,10,78.88999939,31.94015313,3.9,2.167730033,46.99491749,0.675061373,82.616
Oman,9239.206487,10,62.70899963,21.86818914,1.6,0.133795057,12.67034011,2.968313394,85.443
Pakistan,1468.730795,12,38.31600189,19.73351964,0.6,10.5783618,20.52541272,2.029214863,36.907
Panama,13259.60295,11,67.4940033,31.72861151,2.3,-0.355083821,40.41663843,1.651786891,68.059
Papua New Guinea,2028.052531,9.923913043,35.54800034,33.56836515,4.024199963,3.637899003,48.2821074,1.953679082,13.25
Paraguay,4569.915308,13,62.11000061,21.81500671,1.3,2.757097276,40.58840826,1.265167271,61.879
Peru,5520.049002,14,57.52700043,20.85436638,1.6,2.137153426,45.71766126,1.616157197,78.099
Philippines,3246.381629,13,57.63499832,28.70713777,1,2.480278587,38.89624972,1.363994679,47.149
Poland,12954.12655,10,59.10300064,21.01067789,6.5,2.227478809,44.63803628,-0.010207303,60.037
Portugal,18783.98041,12,69.75099945,18.99745121,3.4,0.33817841,49.1264277,-0.140172577,65.764
Qatar,51536.27172,9,44.45100021,47.82805485,1.2,-0.666641125,13.76174073,1.795285051,99.188
Romania,9716.217175,10,48.56999969,18.62359833,6.3,3.827854326,42.90737161,-0.597497124,54.084
